Filename,image_path,Label
0840_jpg.rf.c3bd189b7cb10d4a6e549a7d5529c3ab_0004.jpg,WEED6C_crops/0840_jpg.rf.c3bd189b7cb10d4a6e549a7d5529c3ab_0004.jpg,3
1302_jpg.rf.26ab3fc340b22f9482155ab905a6cebf_0022.jpg,WEED6C_crops/1302_jpg.rf.26ab3fc340b22f9482155ab905a6cebf_0022.jpg,4
1378_jpg.rf.a485ab7c96bef96dac8eb7e61bbb7fb8_0026.jpg,WEED6C_crops/1378_jpg.rf.a485ab7c96bef96dac8eb7e61bbb7fb8_0026.jpg,4
0079_jpg.rf.bd3d0899dd4a32431aa298454229cee4_0008.jpg,WEED6C_crops/0079_jpg.rf.bd3d0899dd4a32431aa298454229cee4_0008.jpg,5
0561_jpg.rf.4695a0911cd330037776119fe0be25a7_0002.jpg,WEED6C_crops/0561_jpg.rf.4695a0911cd330037776119fe0be25a7_0002.jpg,3
0266_jpg.rf.44e611753f9d3e1997613c5cc8a58644_0003.jpg,WEED6C_crops/0266_jpg.rf.44e611753f9d3e1997613c5cc8a58644_0003.jpg,0
1236_jpg.rf.84823ae11fdee603ba6a5fab2cc61c7f_0023.jpg,WEED6C_crops/1236_jpg.rf.84823ae11fdee603ba6a5fab2cc61c7f_0023.jpg,4
1303_jpg.rf.8f30bd948ef635a90243d4eb022d379b_0044.jpg,WEED6C_crops/1303_jpg.rf.8f30bd948ef635a90243d4eb022d379b_0044.jpg,4
0288_jpg.rf.bb389a0b6eaf05d324c60d6c24a764fa_0003.jpg,WEED6C_crops/0288_jpg.rf.bb389a0b6eaf05d324c60d6c24a764fa_0003.jpg,3
1240_jpg.rf.e1ad20f0f2011d323769409c17d77863_0008.jpg,WEED6C_crops/1240_jpg.rf.e1ad20f0f2011d323769409c17d77863_0008.jpg,4
0902_jpg.rf.d61960a7bb349756b99685d2fa38137c_0002.jpg,WEED6C_crops/0902_jpg.rf.d61960a7bb349756b99685d2fa38137c_0002.jpg,3
0241_jpg.rf.91f3e8769b4d0ba66baac18128b9bc52_0004.jpg,WEED6C_crops/0241_jpg.rf.91f3e8769b4d0ba66baac18128b9bc52_0004.jpg,1
0376_jpg.rf.6cd0c61dcecc80d6794b8fd0cb7a2c07_0010.jpg,WEED6C_crops/0376_jpg.rf.6cd0c61dcecc80d6794b8fd0cb7a2c07_0010.jpg,0
0603_jpg.rf.cab64e31d05fefc48f7cd476fb6c4aa8_0007.jpg,WEED6C_crops/0603_jpg.rf.cab64e31d05fefc48f7cd476fb6c4aa8_0007.jpg,2
0277_jpg.rf.da40428a611c836681331c1b74be0c1b_0013.jpg,WEED6C_crops/0277_jpg.rf.da40428a611c836681331c1b74be0c1b_0013.jpg,1
0886_jpg.rf.4f41b64e213e51e716b0d7d6babe161a_0001.jpg,WEED6C_crops/0886_jpg.rf.4f41b64e213e51e716b0d7d6babe161a_0001.jpg,0
0667_jpg.rf.84f7e664dfc91e5db894dcbd701196cb_0004.jpg,WEED6C_crops/0667_jpg.rf.84f7e664dfc91e5db894dcbd701196cb_0004.jpg,3
0817_jpg.rf.0a15fa2e7e002006fff6451b72006170_0007.jpg,WEED6C_crops/0817_jpg.rf.0a15fa2e7e002006fff6451b72006170_0007.jpg,2
0992_jpg.rf.eae2fd40c17f36bff900d2f45d437399_0004.jpg,WEED6C_crops/0992_jpg.rf.eae2fd40c17f36bff900d2f45d437399_0004.jpg,3
1311_jpg.rf.4a2f9977c5ce6af1d01a777bdced6f04_0018.jpg,WEED6C_crops/1311_jpg.rf.4a2f9977c5ce6af1d01a777bdced6f04_0018.jpg,4
0764_jpg.rf.0d6f4d62d4d805eb4b14e01d32c1b150_0002.jpg,WEED6C_crops/0764_jpg.rf.0d6f4d62d4d805eb4b14e01d32c1b150_0002.jpg,2
0241_jpg.rf.91f3e8769b4d0ba66baac18128b9bc52_0005.jpg,WEED6C_crops/0241_jpg.rf.91f3e8769b4d0ba66baac18128b9bc52_0005.jpg,3
0569_jpg.rf.063fbb3cbf19f5fedd740689e1a42436_0002.jpg,WEED6C_crops/0569_jpg.rf.063fbb3cbf19f5fedd740689e1a42436_0002.jpg,3
0834_jpg.rf.541aec5b5bf56ec58ec1abe5ccbeaf7f_0011.jpg,WEED6C_crops/0834_jpg.rf.541aec5b5bf56ec58ec1abe5ccbeaf7f_0011.jpg,3
0185_jpg.rf.4fd8bfc83568a3996067f10547ff2210_0003.jpg,WEED6C_crops/0185_jpg.rf.4fd8bfc83568a3996067f10547ff2210_0003.jpg,0
1304_jpg.rf.bdabd9792ab23d3924d6e3d26f3aec06_0017.jpg,WEED6C_crops/1304_jpg.rf.bdabd9792ab23d3924d6e3d26f3aec06_0017.jpg,4
0837_jpg.rf.8735d328e944f506f933e1e7704cceb0_0005.jpg,WEED6C_crops/0837_jpg.rf.8735d328e944f506f933e1e7704cceb0_0005.jpg,1
1303_jpg.rf.8f30bd948ef635a90243d4eb022d379b_0014.jpg,WEED6C_crops/1303_jpg.rf.8f30bd948ef635a90243d4eb022d379b_0014.jpg,4
1355_jpg.rf.6913dec06d5038de035d46f593a0bd9e_0026.jpg,WEED6C_crops/1355_jpg.rf.6913dec06d5038de035d46f593a0bd9e_0026.jpg,4
0250_jpg.rf.e559f94b7828a97a430fbceb3e22a674_0007.jpg,WEED6C_crops/0250_jpg.rf.e559f94b7828a97a430fbceb3e22a674_0007.jpg,1
0112_jpg.rf.7bd8ad34f07ba8b06cfe58a2e727add5_0004.jpg,WEED6C_crops/0112_jpg.rf.7bd8ad34f07ba8b06cfe58a2e727add5_0004.jpg,5
0640_jpg.rf.3d46796798b5683efcaf4156bc315786_0002.jpg,WEED6C_crops/0640_jpg.rf.3d46796798b5683efcaf4156bc315786_0002.jpg,3
0837_jpg.rf.8735d328e944f506f933e1e7704cceb0_0008.jpg,WEED6C_crops/0837_jpg.rf.8735d328e944f506f933e1e7704cceb0_0008.jpg,0
1285_jpg.rf.8c5370f95c282daae379485a007ec7bd_0002.jpg,WEED6C_crops/1285_jpg.rf.8c5370f95c282daae379485a007ec7bd_0002.jpg,4
0698_jpg.rf.9ca38a011dd5e6125c563a5c241ce9c8_0007.jpg,WEED6C_crops/0698_jpg.rf.9ca38a011dd5e6125c563a5c241ce9c8_0007.jpg,1
1339_jpg.rf.c1d6ea90c66a0ca02bdb39223830ec18_0007.jpg,WEED6C_crops/1339_jpg.rf.c1d6ea90c66a0ca02bdb39223830ec18_0007.jpg,4
