Filename,Label,Species
20170217-113224-0.jpg,7,Snake weed
20180119-110148-2.jpg,8,Negative
20171109-071337-1.jpg,5,Rubber vine
20171219-100842-2.jpg,8,Negative
20171203-172716-3.jpg,8,Negative
20180125-135135-3.jpg,8,Negative
20180119-114307-2.jpg,8,Negative
20180112-092948-1.jpg,8,Negative
20171217-100931-2.jpg,8,Negative
20171113-150156-1.jpg,6,Siam weed
20170705-165013-0.jpg,7,Snake weed
20171109-073214-3.jpg,5,Rubber vine
20180112-094153-1.jpg,8,Negative
20180112-081303-2.jpg,8,Negative
20171219-105508-2.jpg,8,Negative
20180109-094621-2.jpg,8,Negative
20180105-092501-2.jpg,8,Negative
20170714-113030-2.jpg,1,Lantana
20180112-075443-2.jpg,8,Negative
20170727-124959-3.jpg,4,Prickly acacia
20171219-113040-2.jpg,8,Negative
20171220-094856-2.jpg,8,Negative
20171025-091838-1.jpg,3,Parthenium
20170501-145336-0.jpg,8,Negative
20171218-110857-3.jpg,8,Negative
20171108-130405-3.jpg,5,Rubber vine
20170126-100242-0.jpg,1,Lantana
20180119-115209-1.jpg,8,Negative
20170715-140651-1.jpg,1,Lantana
20170207-141953-0.jpg,7,Snake weed
20170906-113030-1.jpg,3,Parthenium
20180109-102720-2.jpg,8,Negative
20170707-112634-0.jpg,0,Chinee apple
20180109-104322-2.jpg,8,Negative
20171121-073547-1.jpg,6,Siam weed
20170315-090007-0.jpg,8,Negative
20171212-101854-3.jpg,8,Negative
20180105-092347-3.jpg,8,Negative
20170727-124737-3.jpg,4,Prickly acacia
20180109-095458-2.jpg,8,Negative
20170410-124328-0.jpg,0,Chinee apple
20180125-095248-1.jpg,8,Negative
20170718-133742-2.jpg,7,Snake weed
20171219-094001-3.jpg,8,Negative
20180125-093256-1.jpg,8,Negative
20171109-092120-1.jpg,5,Rubber vine
20170920-113405-3.jpg,2,Parkinsonia
20180112-100908-1.jpg,8,Negative
20170727-143410-1.jpg,4,Prickly acacia
20180109-095749-2.jpg,8,Negative
20180109-091327-1.jpg,8,Negative
20180322-104328-1.jpg,8,Negative
20171219-094840-2.jpg,8,Negative
20170718-101616-2.jpg,0,Chinee apple
20170920-111244-2.jpg,2,Parkinsonia
20170714-141510-3.jpg,1,Lantana
20170714-114758-3.jpg,1,Lantana
20170729-090121-1.jpg,4,Prickly acacia
20180119-110632-1.jpg,8,Negative
20170715-150113-1.jpg,1,Lantana
20170715-140313-1.jpg,1,Lantana
20171102-121309-3.jpg,2,Parkinsonia
20170727-171618-3.jpg,4,Prickly acacia
20170714-112539-2.jpg,1,Lantana
20171122-101627-1.jpg,5,Rubber vine
20171102-104615-2.jpg,2,Parkinsonia
20180112-070302-2.jpg,8,Negative
20180119-113041-1.jpg,8,Negative
20171025-092937-2.jpg,3,Parthenium
20171220-091821-2.jpg,8,Negative
20171113-140014-1.jpg,6,Siam weed
20180109-104433-1.jpg,8,Negative
20171102-095026-1.jpg,4,Prickly acacia
20171220-090310-2.jpg,8,Negative
20180322-130154-1.jpg,8,Negative
20171220-101402-2.jpg,8,Negative
20180322-130616-1.jpg,8,Negative
20170811-130450-2.jpg,0,Chinee apple
20180109-075703-2.jpg,8,Negative
20180119-111439-1.jpg,8,Negative
20170210-131218-0.jpg,7,Snake weed
20171113-122412-1.jpg,6,Siam weed
20180125-101952-2.jpg,8,Negative
20180112-070959-2.jpg,8,Negative
20171219-092840-2.jpg,8,Negative
20170727-171839-1.jpg,4,Prickly acacia
20171102-104308-1.jpg,2,Parkinsonia
20180105-093740-2.jpg,8,Negative
20171121-072239-1.jpg,6,Siam weed
20171102-103848-2.jpg,2,Parkinsonia
20171218-121629-2.jpg,8,Negative
20180109-071431-1.jpg,8,Negative
20170811-111230-2.jpg,0,Chinee apple
20180105-094138-3.jpg,8,Negative
20180112-072107-2.jpg,8,Negative
20171121-084723-1.jpg,6,Siam weed
20180105-091514-2.jpg,8,Negative
20180125-093140-2.jpg,8,Negative
20170728-151946-1.jpg,8,Negative
20180105-093442-3.jpg,8,Negative
20170501-145751-0.jpg,8,Negative
20171201-120135-1.jpg,8,Negative
20171219-112938-2.jpg,8,Negative
20180125-132708-2.jpg,8,Negative
20170130-102305-0.jpg,1,Lantana
20171212-094548-1.jpg,8,Negative
20180105-095558-2.jpg,8,Negative
20170210-132421-0.jpg,0,Chinee apple
20170304-132021-0.jpg,7,Snake weed
20170727-143525-1.jpg,4,Prickly acacia
20170913-125701-2.jpg,5,Rubber vine
20180112-094802-1.jpg,8,Negative
20170727-170437-1.jpg,8,Negative
20170811-111413-1.jpg,0,Chinee apple
20171102-123501-2.jpg,2,Parkinsonia
20170217-101309-0.jpg,0,Chinee apple
20180322-113131-1.jpg,8,Negative
20171113-093349-3.jpg,5,Rubber vine
20180112-072932-1.jpg,8,Negative
20170705-164213-0.jpg,7,Snake weed
20170729-091822-2.jpg,8,Negative
20170714-111525-2.jpg,1,Lantana
20180322-120622-2.jpg,8,Negative
20180125-100726-2.jpg,8,Negative
20180322-131858-1.jpg,8,Negative
20171109-070859-1.jpg,5,Rubber vine
20180105-100521-2.jpg,8,Negative
20170913-104436-3.jpg,5,Rubber vine
20170920-190943-1.jpg,2,Parkinsonia
20170610-124033-0.jpg,1,Lantana
20170920-171200-3.jpg,2,Parkinsonia
20180109-073024-2.jpg,8,Negative
20170126-095436-0.jpg,1,Lantana
20180322-120531-2.jpg,8,Negative
20170714-110953-1.jpg,1,Lantana
20171102-095308-3.jpg,4,Prickly acacia
20180112-103151-1.jpg,8,Negative
20170729-092320-2.jpg,4,Prickly acacia
20171219-100737-2.jpg,8,Negative
20171113-060913-1.jpg,6,Siam weed
20170920-184415-1.jpg,2,Parkinsonia
20170811-122959-2.jpg,0,Chinee apple
20170906-133145-1.jpg,3,Parthenium
20171108-123917-3.jpg,5,Rubber vine
20171113-164837-0.jpg,6,Siam weed
20180109-090045-1.jpg,8,Negative
20170906-095816-1.jpg,3,Parthenium
20170727-135756-1.jpg,4,Prickly acacia
20180112-092458-2.jpg,8,Negative
20180125-133116-3.jpg,8,Negative
20170704-151231-0.jpg,7,Snake weed
20180322-133038-1.jpg,8,Negative
20170217-143950-0.jpg,7,Snake weed
20180125-093213-1.jpg,8,Negative
20180112-091641-1.jpg,8,Negative
20171203-172822-3.jpg,8,Negative
20170315-085835-0.jpg,8,Negative
20180125-092106-1.jpg,8,Negative
20180109-095539-2.jpg,8,Negative
20170705-164828-0.jpg,7,Snake weed
20171109-093007-1.jpg,5,Rubber vine
20171203-174313-3.jpg,8,Negative
20170920-111833-2.jpg,2,Parkinsonia
20180119-115552-2.jpg,8,Negative
20180322-105105-1.jpg,8,Negative
20170718-132737-2.jpg,7,Snake weed
20180125-130246-3.jpg,8,Negative
20171218-112020-3.jpg,8,Negative
20180322-114535-2.jpg,8,Negative
20180109-091426-2.jpg,8,Negative
20170410-160245-0.jpg,7,Snake weed
20171212-103730-3.jpg,8,Negative
20170729-091235-1.jpg,4,Prickly acacia
20180125-100150-2.jpg,8,Negative
20171102-093243-2.jpg,4,Prickly acacia
20171109-072437-1.jpg,5,Rubber vine
20171220-085003-2.jpg,8,Negative
20170405-154606-0.jpg,0,Chinee apple
20171121-083203-1.jpg,6,Siam weed
20171220-095028-1.jpg,8,Negative
20170705-162307-0.jpg,7,Snake weed
20180112-094449-1.jpg,8,Negative
20171113-092047-1.jpg,5,Rubber vine
20171113-092852-3.jpg,5,Rubber vine
20170913-110133-3.jpg,5,Rubber vine
20171025-094241-1.jpg,3,Parthenium
20170913-120841-2.jpg,5,Rubber vine
20170920-162654-3.jpg,2,Parkinsonia
20170920-113851-3.jpg,2,Parkinsonia
20180109-105637-2.jpg,8,Negative
20170304-132308-0.jpg,7,Snake weed
20170714-133546-1.jpg,1,Lantana
20180125-102131-2.jpg,8,Negative
20170501-145328-0.jpg,8,Negative
20171220-094848-2.jpg,8,Negative
20180322-125525-1.jpg,8,Negative
20170410-155936-0.jpg,7,Snake weed
20170714-113721-2.jpg,1,Lantana
20171113-111328-0.jpg,6,Siam weed
20180112-081326-2.jpg,8,Negative
20171113-140117-1.jpg,6,Siam weed
20180105-095512-2.jpg,8,Negative
20180109-094854-1.jpg,8,Negative
20180125-092952-2.jpg,8,Negative
20180109-090254-1.jpg,8,Negative
20171219-095211-2.jpg,8,Negative
20170129-103903-0.jpg,8,Negative
20180125-135333-3.jpg,8,Negative
20180322-104201-1.jpg,8,Negative
20180105-101911-2.jpg,8,Negative
20180125-130223-3.jpg,8,Negative
20171109-070659-3.jpg,5,Rubber vine
20171102-122825-1.jpg,2,Parkinsonia
20180125-094934-2.jpg,8,Negative
20180112-102440-1.jpg,8,Negative
20171109-094234-3.jpg,5,Rubber vine
20170711-115315-0.jpg,0,Chinee apple
20171203-172748-3.jpg,8,Negative
20170920-095728-1.jpg,2,Parkinsonia
20180112-103147-2.jpg,8,Negative
20170913-100832-2.jpg,3,Parthenium
20180105-093726-3.jpg,8,Negative
20180119-113215-2.jpg,8,Negative
20171113-123137-0.jpg,6,Siam weed
20170410-124933-0.jpg,0,Chinee apple
20171219-095638-3.jpg,8,Negative
